name,date,lang,dur,genre,direc,act,c_rate,u_rate,desc,poster
Little Fockers,"21 Jan, 2011",[],Comedy,,Paul Weitz,"['Ben Stiller', 'Teri Polo', 'Jessica Alba']",2.5,1.9,The Focker franchise which was such a rib-tickler in its earlier versions does seem to have lost some of its fun in the third sequel.,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
The Season Of The Witch,"21 Jan, 2011",[],Fantasy,,Dominic Sena,,2.5,2.2,There is too much mumbo-jumbo and old-fashioned tantra-mantra in The Season of The Witch to engage the modern mindset.,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Tangled,"21 Jan, 2011",[],Animation,,Nathan Greno,,3.5,3.7,"The state-of-the-art 3-D transforms the fairy tale into an eye-popping story. Go get your fill, with friends and family.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Another Year,"21 Jan, 2011",[],Drama,,Mike Leigh,"['Jim Broadbent', 'Ruth Sheen', 'Imelda Staunton']",4.0,3.1,"Watch the film for its compelling performances, specially by Leslie Manville, who is absolutely brilliant as the sad yet strong and self-respecting Mary.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
The Green Hornet,"14 Jan, 2011",[],Adventure,,Michel Gondry,"['Seth Rogen', 'Jay Chou', 'Cameron Diaz']",3.5,3.5,"Witty dialogues, bumbling heroes, zany bad guys, high-voltage action, The Green Hornet is a fun make-over of the super hero movie. Don't miss it.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Life As We know It,"07 Jan, 2011",[],Romance,,Greg Berlanti,"['Katherine Heigl', 'Josh Duhamel', 'Josh Lucas']",3.0,2.6,"Sentimental, sweet and spilling over with slapstick gags, Life As We Know It is Hollywood romance, as we know it. Fun while it lasts.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Fair Game,"07 Jan, 2011",[],Thriller,,Doug Liman,"['Naomi Watts', 'Sean Penn', 'Noah Emmerich']",3.5,2.2,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Gulliver's Travels,"31 Dec, 2010",[],Comedy,,Rob Letterman,"['Jack Black', 'Amanda Peet', 'Emily Blunt']",3.0,2.8,Watch out for Jack Black's zany rendition of the classic hero who is first held captive by pint-sized people and then punched around by a giant-sized doll.,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Megamind,"24 Dec, 2010",[],Animation,,Tom McGrath,"['Brad Pitt', 'Tina Fey', 'Jonah Hill']",3.0,3.3,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
You Will Meet a Tall Dark Stranger,"17 Dec, 2010",[],Drama,,Woody Allen,"['Antonio Banderas', 'Josh Brolin', 'Anthony Hopkins']",3.0,2.6,"The film isn't writer-director Woody Allen's best. But if you've seen 39 of his earlier films, you must see the 40th too!","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
The Tourist," 1 hr 38 mins
	    
	",['Drama'],,,Florian Henckel Von Donnersmarck,"['Johnny Depp', 'Angelina Jolie', 'Paul Bettany']",3.0,3.1,"Elise (Angelina Jolie), a mysterious woman who is under surveillance by Scotland Yard, the Interpol and a bunch of bad guys, meets and falls in love with an American tourist, Frank (Johnny Depp).","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Tron: Legacy,"17 Dec, 2010",[],Action,,Jeff BridgesActor,,3.0,2.6,"You do sit and gawk at the natty 3-D elegance and the combat-game format which has anyhow captured the 21st century imagination, kids and adults, alike.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
The Warrior's Way,"10 Dec, 2010",[],Action,,Kate BosworthActor,,3.0,2.5,"The film moves languorously, sometimes too slowly, and manages to draw you with its eclectic appeal. Go for the different look and the blending of genres.","https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
Faster,"10 Dec, 2010",[],Action,,dwayne johnsonActor,"['Billy Bob Thornton', 'Carla Gugino', 'Tom Berenger']",2.5,2.2,,"https://static.toiimg.com/thumb/msid-61914123,width-219,height-317/61914123.jpg"
